0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
ער האָט געפּאַטשקעטer hot gepatshket,זיי האָבן געפּאַטשקעטzey hobn gepatshket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pluperfect,איך האָב געהאַט געפּאַטשקעטikh hob gehat gepatshket,מיר האָבן געהאַט געפּאַטשקעטmir hobn gehat gepatshket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
דו האָסט געהאַט געפּאַטשקעטdu host gehat gepatshket,איר האָט געהאַט געפּאַטשקעטir hot gehat gepatshket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ער האָט געהאַט געפּאַטשקעטer hot gehat gepatshket,זיי האָבן געהאַט געפּאַטשקעטzey hobn gehat gepatshket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
future,איך וועל פּאַטשקעןikh vel patshken,מיר וועלן פּאַטשקעןmir veln patshken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
דו וועסט פּאַטשקעןdu vest patshken,איר וועט פּאַטשקעןir vet patshken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ער וועט פּאַטשקעןer vet patshken,זיי וועלן פּאַטשקעןzey veln patshken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
future perfect,איך וועל האָבן געפּאַטשקעטikh vel hobn gepatshket,מיר וועלן האָבן געפּאַטשקעטmir veln hobn gepatshket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
דו וועסט האָבן געפּאַטשקעטdu vest hobn gepatshket,איר וועט האָבן געפּאַטשקעטir vet hobn gepatshket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ער וועט האָבן געפּאַטשקעטer vet hobn gepatshket,זיי וועלן האָבן געפּאַטשקעטzey veln hobn gepatshket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"אָנפּאַטשקען ‎(onpatshken, “to make a mess; to soil; to scribble”)",,"פּאַטשקען זיך מיט ‎(patshken zikh mit, “to bother with, be involved with something messy”)",,"פּאַטשקען מיט דער פֿעדער ‎(patshken mit der feder, “to scribble, scrawl”)",,,,,,,,,,,,,,,,,,,,,,,,,,,
