0,1,2,3,4,5,6,7,8,9
imperative,tufae,faeni!__faeni!‡,,,,,,,
infinitive,kutofaa or kutokufaa,,,,,,,,
,,singular person,,,,,,,
,,1st personmimi,2nd personwewe,3rd person/Class 1yeye/(m),Class 3(m),Class 5(ji),Class 7(ki),Class 9(n),Class 11/14(u)
indicative,general,sifai,hufai,hafai,haufai,halifai,hakifai,haifai,haufai
progressive,Use General Form,Use General Form,Use General Form,Use General Form,Use General Form,Use General Form,Use General Form,Use General Form,
habitual,Use General Form,,,,,,,,
past,sikufaa,hukufaa,hakufaa,haukufaa,halikufaa,hakikufaa,haikufaa,haukufaa,
perfect,sijafaa,hujafaa,hajafaa,haujafaa,halijafaa,hakijafaa,haijafaa,haujafaa,
future,sitafaa,hutafaa,hatafaa,hautafaa,halitafaa,hakitafaa,haitafaa,hautafaa,
consecutive,Use Subjunctive Form,Use Subjunctive Form,Use Subjunctive Form,Use Subjunctive Form,Use Subjunctive Form,Use Subjunctive Form,Use Subjunctive Form,Use Subjunctive Form,
conditional,present,nisingefaa,usingefaa,asingefaa,usingefaa,lisingefaa,kisingefaa,isingefaa,usingefaa
past,nisingalifaa,usingalifaa,asingalifaa,usingalifaa,lisingalifaa,kisingalifaa,isingalifaa,usingalifaa,
subjunctive,general,nisifae,usifae,asifae,usifae,lisifae,kisifae,isifae,usifae
consecutive,Use Subjunctive Form,Use Subjunctive Form,Use Subjunctive Form,Use Subjunctive Form,Use Subjunctive Form,Use Subjunctive Form,Use Subjunctive Form,Use Subjunctive Form,
comitative,nisipofaa,usipofaa,asipofaa,usipofaa,lisipofaa,kisipofaa,isipofaa,usipofaa,
imperative,,usifae!‡,,,,,,,
,,plural person,,,,,,,
,,1st personsisi,2nd personninyi,3rd person/Class 2wao/(wa),Class 4(mi),Class 6(ma),Class 8(vi),Class 10(n),Class 10(n)†
indicative,general,hatufai,hamfai,hawafai,haifai,hayafai,havifai,hazifai,hazifai
progressive,Use General Form,Use General Form,Use General Form,Use General Form,Use General Form,Use General Form,Use General Form,Use General Form,
habitual,Use General Form,,,,,,,,
past,hatukufaa,hamkufaa,hawakufaa,haikufaa,hayakufaa,havikufaa,hazikufaa,hazikufaa,
perfect,hatujafaa,hamjafaa,hawajafaa,haijafaa,hayajafaa,havijafaa,hazijafaa,hazijafaa,
future,hatutafaa,hamtafaa,hawatafaa,haitafaa,hayatafaa,havitafaa,hazitafaa,hazitafaa,
consecutive,Use Subjunctive Form,Use Subjunctive Form,Use Subjunctive Form,Use Subjunctive Form,Use Subjunctive Form,Use Subjunctive Form,Use Subjunctive Form,Use Subjunctive Form,
conditional,present,tusingefaa,msingefaa,wasingefaa,isingefaa,yasingefaa,visingefaa,zisingefaa,zisingefaa
past,tusingalifaa,msingalifaa,wasingalifaa,isingalifaa,yasingalifaa,visingalifaa,zisingalifaa,zisingalifaa,
subjunctive,general,tusifae,msifae,wasifae,isifae,yasifae,visifae,zisifae,zisifae
consecutive,Use Subjunctive Form,Use Subjunctive Form,Use Subjunctive Form,Use Subjunctive Form,Use Subjunctive Form,Use Subjunctive Form,Use Subjunctive Form,Use Subjunctive Form,
comitative,tusipofaa,msipofaa,wasipofaa,isipofaa,yasipofaa,visipofaa,zisipofaa,zisipofaa,
imperative,tusifae,msifae!‡,,,,,,,
